Data,Prod
Setembro 2006,206867
outubro 2006,206867
novembro 2006,206478
dezembro 2006,204056
janeiro 2007,194413
fevereiro 2007,194567
março 2007,194567
abril 2007,194567
maio 2007,200290
junho 2007,228738
julho 2007,228824
agosto 2007,228809
setembro 2007,219187
outubro 2007,218629
novembro 2007,221699
dezembro 2007,216918
janeiro 2008,208931
fevereiro 2008,208931
março 2008,210545
abril 2008,211492
maio 2008,212127
junho 2008,212127
julho 2008,220799
agosto 2008,211435
setembro 2008,211409
outubro 2008,211408
novembro 2008,211408
dezembro 2008,216749
janeiro 2009,205416
fevereiro 2009,205416
março 2009,214917
abril 2009,211225
maio 2009,211294
junho 2009,211294
julho 2009,206447
agosto 2009,213210
setembro 2009,213210
outubro 2009,213210
novembro 2009,212434
dezembro 2009,220666
janeiro 2010,211142
fevereiro 2010,216093
março 2010,218711
abril 2010,219695
maio 2010,221474
junho 2010,222185
julho 2010,222180
agosto 2010,232339
setembro 2010,232296
outubro 2010,232296
novembro 2010,232296
dezembro 2010,233710
janeiro 2011,224076
fevereiro 2011,225691
março 2011,229051
abril 2011,241571
maio 2011,243099
junho 2011,243121
julho 2011,243664
agosto 2011,243664
setembro 2011,246618
outubro 2011,246623
novembro 2011,247758
dezembro 2011,248165
janeiro 2012,232675
fevereiro 2012,232849
março 2012,239928
abril 2012,239935
maio 2012,239972
junho 2012,238294
julho 2012,236286
agosto 2012,235508
setembro 2012,255150
outubro 2012,255150
novembro 2012,255150
dezembro 2012,257417
janeiro 2013,243811
fevereiro 2013,243834
março 2013,255666
abril 2013,254623
maio 2013,254623
junho 2013,243734
julho 2013,262921
agosto 2013,262849
setembro 2013,262850
outubro 2013,261509
novembro 2013,261509
dezembro 2013,261788
janeiro 2014,250798
fevereiro 2014,250780
março 2014,256342
abril 2014,254504
maio 2014,271848
junho 2014,273031
julho 2014,272985
agosto 2014,271343
setembro 2014,270340
outubro 2014,287129
novembro 2014,286795
dezembro 2014,280923
janeiro 2015,234090
fevereiro 2015,234585
março 2015,260185
abril 2015,260175
maio 2015,260852
junho 2015,260865
julho 2015,259873
agosto 2015,259852
setembro 2015,260805
outubro 2015,260926
novembro 2015,255329
dezembro 2015,255353
janeiro 2016,262328
fevereiro 2016,261823
março 2016,254497
abril 2016,263638
maio 2016,263510
junho 2016,263539
julho 2016,263539
agosto 2016,243541
setembro 2016,214497
outubro 2016,214697
novembro 2016,214698
dezembro 2016,214741
janeiro 2017,274874
fevereiro 2017,275794
março 2017,236240
abril 2017,236441
maio 2017,235526
junho 2017,235550
julho 2017,235631
agosto 2017,224209
setembro 2017,213532
outubro 2017,213546
novembro 2017,213544
dezembro 2017,214348
janeiro 2018,272667
fevereiro 2018,215673
março 2018,215671
abril 2018,232134
maio 2018,232134
junho 2018,232747
julho 2018,230540
agosto 2018,232754
setembro 2018,235203
outubro 2018,252890
novembro 2018,253460
dezembro 2018,255184
janeiro 2019,250308
fevereiro 2019,250439
março 2019,252105
abril 2019,251533
maio 2019,254068
junho 2019,251278
julho 2019,250925
agosto 2019,250925
setembro 2019,250925
outubro 2019,249200
novembro 2019,247730
dezembro 2019,252540
janeiro 2020,237759
fevereiro 2020,238879
março 2020,281240
abril 2020,282233
maio 2020,282223
junho 2020,282230
julho 2020,278238
agosto 2020,278239
setembro 2020,278279
outubro 2020,278262
novembro 2020,280672
dezembro 2020,280661
janeiro 2021,269902
fevereiro 2021,270441
março 2021,273064
abril 2021,273064
maio 2021,269084
junho 2021,269084
julho 2021,278805
agosto 2021,284117
setembro 2021,291310
outubro 2021,294310
novembro 2021,297537
dezembro 2021,310537
janeiro 2022,280217
fevereiro 2022,286722
março 2022,288660
abril 2022,289202
maio 2022,288734
junho 2022,288757
julho 2022,288705
agosto 2022,288889
setembro 2022,288501
outubro 2022,290181
novembro 2022,290119
dezembro 2022,290118
janeiro 2023,286813
fevereiro 2023,286813
março 2023,286791
abril 2023,286791
maio 2023,286791
junho 2023,290375
julho 2023,290375
agosto 2023,282888
setembro 2023,283666
outubro 2023,283149
novembro 2023,289255
dezembro 2023,290630
janeiro 2024,295054
fevereiro 2024,297044
março 2024,297376
abril 2024,294214
maio 2024,293040
junho 2024,294453
julho 2024,293236
agosto 2024,293831
