Ano,Mudanca de Uso da Terra e Floresta,Agropecuaria,Energia,Residuos,Processos Industriais
1990,1385103176.39144,391152218.907382,191682433.531659,30000087.607315,51505119.351471
1991,1412517103.0063,403294025.32881,197049396.639286,31274701.3894544,57921826.5054932
1992,1663752690.23669,411209486.981736,200809151.946453,32561444.9860812,56437259.4168091
1993,1494251596.47766,416707706.709457,205636365.455866,33947768.1627639,60681512.5899658
1994,1698215485.26617,425274509.300455,213957241.602151,35631341.7978776,61182383.2242432
1995,1972245123.1921,429241517.110936,229912338.184592,37641754.9779572,64245102.3261719
1996,1716030092.70801,403224894.398884,247961264.467242,39744343.9724009,65795957.9682379
1997,1715587540.03342,411469851.047637,263292745.724803,41670324.8764103,67432049.6356955
1998,1607346386.02307,417571524.424344,272008486.092105,43951278.5864653,69587536.3865967
1999,1610162601.60049,422965321.596557,283277512.368077,46509884.1617727,69435175.6436167
2000,1521019770.06283,438128858.829059,289423802.296148,49292166.6062254,72403759.6617031
2001,1592634959.16318,454140884.725046,298869314.624094,52040488.5792905,68751877.9214268
2002,1724691861.92749,467794794.06425,297630342.96117,54810543.6316381,72504318.197794
2003,2222392251.70576,497381563.032435,289964548.125991,57216498.6689377,73252993.5468226
2004,2080851872.88548,518015768.46152,305861690.418807,58714370.9149779,77727995.9599543
2005,1696554305.23701,518586531.93022,317593020.083825,60773856.0766965,75637277.6037388
2006,1310723346.06925,517725906.425396,321276470.274178,63295093.8668275,75958496.3315601
2007,1100394991.12603,502426487.733107,335589436.520264,63946616.9537393,76419145.2589741
2008,1063138599.18056,511409875.294082,353795076.279169,65118318.7231744,78878010.9326525
2009,737723620.456393,517670894.914976,341921909.818377,67899796.9066016,69189547.052659
2010,684159873.255238,534390725.964295,372390738.714213,69765171.1721001,85409837.5315075
2011,699057399.435278,539435968.355666,385942169.294492,72122021.681771,91500375.1659203
2012,782970918.649229,536778986.416309,418646758.926672,72578205.6035111,92129360.5162029
2013,913253023.671575,542088306.29071,450103107.955921,77070673.2346983,91923744.6614857
2014,803011419.051492,546813997.818532,475615735.670152,79374559.3033438,93611701.2052918
2015,927918275.252402,551896945.687004,451898398.266194,81909447.5486583,92170638.0165091
2016,930321189.931311,563283547.541734,419279813.262795,83829655.0949286,85333196.0617657
2017,825463182.836501,562094895.493847,426908865.738579,85273595.0583321,89113012.2056847
2018,875036723.15455,560467405.372515,405701108.572053,88034392.2344797,89796006.4791851
2019,1198225200.88025,562853214.876354,409112176.245651,89359841.3964822,87643417.7261028
2020,1063864893.92882,576492975.430478,387412259.415897,91239142.6895059,87665017.0734997
2021,1323802639.23573,598325559.359414,434325178.487079,91984622.864383,96492330.7724724
2022,1119668385,617204370.824298,412486071.381448,91333389.3218049,90781116.9799309
