Date,Time
5/2/1961,71
7/2/1961,71.1
7/5/1961,70.7
7/28/1961,70.7
7/30/1961,70
8/3/1961,69.5
8/20/1961,67.8
8/20/1961,67.5
3/26/1964,67.4
9/3/1964,66.9
11/8/1967,66.7
2/19/1968,66.4
4/18/1968,66.2
4/20/1969,65.8
8/29/1972,65.7
8/29/1972,65.1
8/30/1972,64.9
9/4/1973,64.4
9/4/1973,64
8/31/1974,63.9
7/19/1976,63.9
7/19/1976,63.6
7/20/1976,63.1
8/18/1977,62.9
7/19/1982,62.6
8/21/1982,62.5
7/19/1983,62.3
8/17/1983,62.3
6/25/1984,62.1
7/29/1984,61.7
8/15/1989,61.5
1/25/1990,61.5
7/26/1990,61.5
1/7/1991,61.5
1/7/1991,61.5
6/11/1991,61.5
8/20/1991,61.3
8/3/1993,61
7/20/1996,60.6
6/15/2000,60.4
3/28/2001,60.3
6/28/2001,60.3
6/29/2001,59.97
7/23/2001,59.94
7/21/2003,59.78
7/8/2004,59.3
8/1/2006,59.13
8/11/2008,58.91
6/13/2009,58.67
7/27/2009,58.58
7/29/2012,58.46
4/17/2015,57.92
8/6/2016,57.55
8/7/2016,57.13
8/4/2018,57.1
7/21/2019,56.88
