"data";"valor"
"01/02/1990";"57258"
"01/03/1990";"32740"
"01/04/1990";"32812"
"01/05/1990";"58464"
"01/06/1990";"37632"
"01/07/1990";"43697"
"01/08/1990";"84707"
"01/09/1990";"75195"
"01/10/1990";"80938"
"01/11/1990";"73082"
"01/12/1990";"66391"
"01/01/1991";"60486"
"01/02/1991";"58540"
"01/03/1991";"66155"
"01/04/1991";"39851"
"01/05/1991";"55941"
"01/06/1991";"68826"
"01/07/1991";"85112"
"01/08/1991";"78648"
"01/09/1991";"73080"
"01/10/1991";"80372"
"01/11/1991";"69039"
"01/12/1991";"55458"
"01/01/1992";"55747"
"01/02/1992";"45472"
"01/03/1992";"39612"
"01/04/1992";"76270"
"01/05/1992";"62091"
"01/06/1992";"67800"
"01/07/1992";"71403"
"01/08/1992";"67980"
"01/09/1992";"69585"
"01/10/1992";"72163"
"01/11/1992";"75357"
"01/12/1992";"67997"
"01/01/1993";"61071"
"01/02/1993";"66606"
"01/03/1993";"90636"
"01/04/1993";"82832"
"01/05/1993";"90675"
"01/06/1993";"92286"
"01/07/1993";"94397"
"01/08/1993";"109283"
"01/09/1993";"101182"
"01/10/1993";"97551"
"01/11/1993";"105926"
"01/12/1993";"105746"
"01/01/1994";"93915"
"01/02/1994";"91542"
"01/03/1994";"114805"
"01/04/1994";"96698"
"01/05/1994";"118772"
"01/06/1994";"120281"
"01/07/1994";"109044"
"01/08/1994";"159083"
"01/09/1994";"114803"
"01/10/1994";"127987"
"01/11/1994";"139273"
"01/12/1994";"140448"
"01/01/1995";"110921"
"01/02/1995";"132244"
"01/03/1995";"178474"
"01/04/1995";"135202"
"01/05/1995";"135837"
"01/06/1995";"137598"
"01/07/1995";"133326"
"01/08/1995";"155183"
"01/09/1995";"137920"
"01/10/1995";"146628"
"01/11/1995";"146066"
"01/12/1995";"135447"
"01/01/1996";"113611"
"01/02/1996";"129557"
"01/03/1996";"135244"
"01/04/1996";"128993"
"01/05/1996";"147166"
"01/06/1996";"129070"
"01/07/1996";"153716"
"01/08/1996";"151652"
"01/09/1996";"165120"
"01/10/1996";"163423"
"01/11/1996";"158599"
"01/12/1996";"152407"
"01/01/1997";"150152"
"01/02/1997";"137523"
"01/03/1997";"159027"
"01/04/1997";"176706"
"01/05/1997";"167344"
"01/06/1997";"167959"
"01/07/1997";"175383"
"01/08/1997";"173822"
"01/09/1997";"180865"
"01/10/1997";"185697"
"01/11/1997";"140970"
"01/12/1997";"115568"
"01/01/1998";"125788"
"01/02/1998";"115902"
"01/03/1998";"128629"
"01/04/1998";"138591"
"01/05/1998";"154580"
"01/06/1998";"129611"
"01/07/1998";"135337"
"01/08/1998";"146373"
"01/09/1998";"124538"
"01/10/1998";"108528"
"01/11/1998";"111375"
"01/12/1998";"127366"
"01/01/1999";"93861"
"01/02/1999";"57175"
"01/03/1999";"105723"
"01/04/1999";"129560"
"01/05/1999";"101648"
"01/06/1999";"103799"
"01/07/1999";"115943"
"01/08/1999";"121715"
"01/09/1999";"107371"
"01/10/1999";"81339"
"01/11/1999";"80401"
"01/12/1999";"78346"
"01/01/2000";"4600"
"01/02/2000";"98936"
"01/03/2000";"92716"
"01/04/2000";"113309"
"01/05/2000";"123089"
"01/06/2000";"115922"
"01/07/2000";"121700"
"01/08/2000";"134259"
"01/09/2000";"120680"
"01/10/2000";"130493"
"01/11/2000";"125055"
"01/12/2000";"151595"
"01/01/2001";"123877"
"01/02/2001";"118303"
"01/03/2001";"155105"
"01/04/2001";"139920"
"01/05/2001";"152816"
"01/06/2001";"133510"
"01/07/2001";"138828"
"01/08/2001";"139347"
"01/09/2001";"108303"
"01/10/2001";"125664"
"01/11/2001";"126197"
"01/12/2001";"125058"
"01/01/2002";"114671"
"01/02/2002";"97388"
"01/03/2002";"123553"
"01/04/2002";"138638"
"01/05/2002";"122965"
"01/06/2002";"107277"
"01/07/2002";"123485"
"01/08/2002";"126754"
"01/09/2002";"129428"
"01/10/2002";"137811"
"01/11/2002";"118278"
"01/12/2002";"126239"
"01/01/2003";"117222"
"01/02/2003";"117920"
"01/03/2003";"102578"
"01/04/2003";"108860"
"01/05/2003";"106581"
"01/06/2003";"99897"
"01/07/2003";"113171"
"01/08/2003";"99252"
"01/09/2003";"125557"
"01/10/2003";"140872"
"01/11/2003";"130398"
"01/12/2003";"169073"
"01/01/2004";"107522"
"01/02/2004";"104931"
"01/03/2004";"141465"
"01/04/2004";"115479"
"01/05/2004";"123311"
"01/06/2004";"130753"
"01/07/2004";"133848"
"01/08/2004";"130234"
"01/09/2004";"137402"
"01/10/2004";"137196"
"01/11/2004";"138814"
"01/12/2004";"177881"
"01/01/2005";"106660"
"01/02/2005";"114816"
"01/03/2005";"149478"
"01/04/2005";"137605"
"01/05/2005";"143000"
"01/06/2005";"148526"
"01/07/2005";"138779"
"01/08/2005";"151723"
"01/09/2005";"144472"
"01/10/2005";"137644"
"01/11/2005";"158334"
"01/12/2005";"183687"
"01/01/2006";"132900"
"01/02/2006";"127821"
"01/03/2006";"156775"
"01/04/2006";"131139"
"01/05/2006";"164066"
"01/06/2006";"146954"
"01/07/2006";"165746"
"01/08/2006";"178513"
"01/09/2006";"159288"
"01/10/2006";"175186"
"01/11/2006";"182709"
"01/12/2006";"204801"
"01/01/2007";"152953"
"01/02/2007";"146473"
"01/03/2007";"193464"
"01/04/2007";"179334"
"01/05/2007";"211155"
"01/06/2007";"198767"
"01/07/2007";"217374"
"01/08/2007";"235270"
"01/09/2007";"204034"
"01/10/2007";"244463"
"01/11/2007";"237060"
"01/12/2007";"242258"
"01/01/2008";"215041"
"01/02/2008";"200841"
"01/03/2008";"232177"
"01/04/2008";"261292"
"01/05/2008";"242047"
"01/06/2008";"256070"
"01/07/2008";"288177"
"01/08/2008";"244799"
"01/09/2008";"268734"
"01/10/2008";"239329"
"01/11/2008";"177906"
"01/12/2008";"194550"
"01/01/2009";"197433"
"01/02/2009";"199356"
"01/03/2009";"271417"
"01/04/2009";"234359"
"01/05/2009";"246944"
"01/06/2009";"300129"
"01/07/2009";"285370"
"01/08/2009";"258104"
"01/09/2009";"308690"
"01/10/2009";"294465"
"01/11/2009";"251723"
"01/12/2009";"293019"
"01/01/2010";"213313"
"01/02/2010";"220957"
"01/03/2010";"353741"
"01/04/2010";"277835"
"01/05/2010";"251094"
"01/06/2010";"262773"
"01/07/2010";"302349"
"01/08/2010";"312774"
"01/09/2010";"307034"
"01/10/2010";"303159"
"01/11/2010";"328468"
"01/12/2010";"381542"
"01/01/2011";"244863"
"01/02/2011";"274128"
"01/03/2011";"306135"
"01/04/2011";"289172"
"01/05/2011";"318510"
"01/06/2011";"304319"
"01/07/2011";"306221"
"01/08/2011";"327360"
"01/09/2011";"311648"
"01/10/2011";"280582"
"01/11/2011";"321622"
"01/12/2011";"348414"
"01/01/2012";"268237"
"01/02/2012";"249473"
"01/03/2012";"300512"
"01/04/2012";"257849"
"01/05/2012";"287481"
"01/06/2012";"353169"
"01/07/2012";"364174"
"01/08/2012";"420048"
"01/09/2012";"288079"
"01/10/2012";"341633"
"01/11/2012";"311742"
"01/12/2012";"359306"
"01/01/2013";"311458"
"01/02/2013";"235087"
"01/03/2013";"283889"
"01/04/2013";"333716"
"01/05/2013";"316191"
"01/06/2013";"318602"
"01/07/2013";"342291"
"01/08/2013";"329175"
"01/09/2013";"309837"
"01/10/2013";"330187"
"01/11/2013";"302919"
"01/12/2013";"353813"
"01/01/2014";"312593"
"01/02/2014";"259325"
"01/03/2014";"240793"
"01/04/2014";"293229"
"01/05/2014";"293344"
"01/06/2014";"263557"
"01/07/2014";"294757"
"01/08/2014";"272448"
"01/09/2014";"296286"
"01/10/2014";"306849"
"01/11/2014";"294636"
"01/12/2014";"370001"
"01/01/2015";"253788"
"01/02/2015";"185938"
"01/03/2015";"234658"
"01/04/2015";"219371"
"01/05/2015";"212693"
"01/06/2015";"212522"
"01/07/2015";"227606"
"01/08/2015";"207261"
"01/09/2015";"200075"
"01/10/2015";"192151"
"01/11/2015";"195193"
"01/12/2015";"227724"
"01/01/2016";"155277"
"01/02/2016";"146816"
"01/03/2016";"179279"
"01/04/2016";"162946"
"01/05/2016";"167487"
"01/06/2016";"171802"
"01/07/2016";"181399"
"01/08/2016";"183887"
"01/09/2016";"159953"
"01/10/2016";"159032"
"01/11/2016";"178138"
"01/12/2016";"204346"
"01/01/2017";"147200"
"01/02/2017";"135649"
"01/03/2017";"189105"
"01/04/2017";"156907"
"01/05/2017";"195551"
"01/06/2017";"194796"
"01/07/2017";"184800"
"01/08/2017";"216520"
"01/09/2017";"199217"
"01/10/2017";"202844"
"01/11/2017";"204196"
"01/12/2017";"212620"
"01/01/2018";"181245"
"01/02/2018";"156880"
"01/03/2018";"207353"
"01/04/2018";"217322"
"01/05/2018";"201870"
"01/06/2018";"201963"
"01/07/2018";"217476"
"01/08/2018";"248598"
"01/09/2018";"213323"
"01/10/2018";"254565"
"01/11/2018";"230909"
"01/12/2018";"234505"
"01/01/2019";"199775"
"01/02/2019";"198634"
"01/03/2019";"209148"
"01/04/2019";"231922"
"01/05/2019";"245440"
"01/06/2019";"223191"
"01/07/2019";"243599"
"01/08/2019";"242981"
"01/09/2019";"234774"
"01/10/2019";"253340"
"01/11/2019";"242277"
"01/12/2019";"262537"
"01/01/2020";"193451"
"01/02/2020";"200967"
"01/03/2020";"163591"
"01/04/2020";"55706"
"01/05/2020";"62173"
"01/06/2020";"132794"
"01/07/2020";"174454"
"01/08/2020";"183365"
"01/09/2020";"207688"
"01/10/2020";"215024"
"01/11/2020";"225000"
"01/12/2020";"243933"
"01/01/2021";"171114"
"01/02/2021";"167341"
"01/03/2021";"189372"
"01/04/2021";"175074"
"01/05/2021";"188612"
"01/06/2021";"182408"
"01/07/2021";"175426"
"01/08/2021";"172763"
"01/09/2021";"155036"
"01/10/2021";"162314"
"01/11/2021";"172904"
"01/12/2021";"207062"
"01/01/2022";"126467"
"01/02/2022";"132321"
"01/03/2022";"146774"
"01/04/2022";"147231"
"01/05/2022";"187045"
"01/06/2022";"178027"
"01/07/2022";"181962"
"01/08/2022";"208577"
"01/09/2022";"193925"
"01/10/2022";"180860"
"01/11/2022";"203980"
"01/12/2022";"216889"
"01/01/2023";"142800"
"01/02/2023";"129889"
"01/03/2023";"198899"
"01/04/2023";"160657"
"01/05/2023";"176447"
"01/06/2023";"189491"
"01/07/2023";"225567"
"01/08/2023";"207678"
"01/09/2023";"197697"
"01/10/2023";"217797"
"01/11/2023";"212643"
"01/12/2023";"248535"
"01/01/2024";"161595"
"01/02/2024";"165197"
"01/03/2024";"187682"
"01/04/2024";"220807"
"01/05/2024";"194237"
"01/06/2024";"214277"
"01/07/2024";"241333"
"01/08/2024";"237384"
